Tm,Cm,Sm,hop,latency,label
0,1,0.01,2,795.9852857274842,0
517,1,0.09,6,602.8890947892893,0
426,2,0.09,5,438.12536924506594,0
563,1,0.09,6,598.2415339033566,0
549,2,0.1,2,564.6698825305814,0
0,3,0.01,5,41.43209529710077,0
0,1,0.01,6,888.672666863431,0
842,3,0.1,7,856.3127809568962,0
0,3,0.01,5,42.369303123874374,0
385,1,0.09,1,509.56574307065273,0
457,2,0.1,2,461.1814892359315,0
546,1,0.09,7,593.818775623274,0
491,2,0.11,6,506.68043448192145,0
21,3,0.01,5,60.39639770524309,0
498,2,0.1,1,521.6943419070694,0
244,3,0.09,3,255.09336944830852,0
244,2,0.08,1,252.94231939955,0
195,3,0.07,4,202.16439026522414,0
188,3,0.06,2,196.81110634646143,0
126,3,0.05,6,142.88992122830336,0
120,3,0.04,6,139.64374290716114,0
99,3,0.03,2,108.01855793808181,0
87,2,0.02,3,96.24584689307449,0
0,2,0.01,3,116.42406006103329,0
80,2,0.01,2,93.18743541852541,0
0,1,0.01,1,744.8008328062276,0
684,3,0.12,4,695.5483376413763,0
654,2,0.11,7,673.4964746884057,0
622,3,0.1,4,640.658178656302,0
10,1,0.02,7,778.843844500162,0
762,3,0.12,5,775.4465156916574,0
0,3,0.01,1,49.73335968967285,0
760,2,0.11,3,773.6383167939459,0
0,1,0.01,2,1079.77378163115,0
911,2,0.13,4,917.5909881551634,0
873,3,0.12,1,881.0199899896177,0
35,1,0.02,6,778.7350407471552,0
743,3,0.11,4,753.534699126312,0
604,2,0.1,3,611.1948181988203,0
559,2,0.09,4,566.3370577686896,0
416,1,0.08,5,665.8700377728771,0
607,3,0.11,1,614.2890948792644,0
570,2,0.1,2,573.2020299136661,0
475,3,0.09,3,481.7332571975603,0
465,2,0.08,5,475.89745127465994,0
415,2,0.07,2,424.6051612160104,0
420,2,0.06,4,427.39466193654926,0
328,2,0.05,2,334.27573968323077,0
0,1,0.01,3,1112.2184979836966,0
0,1,0.01,6,1142.896582630317,0
0,1,0.01,1,1132.6389201488646,0
1130,2,0.12,2,1135.9397501206295,0
1094,1,0.11,6,1124.471842840775,0
1061,3,0.11,5,1078.921001784914,0
931,3,0.1,4,950.3791052604256,0
907,2,0.1,3,922.0105984423296,0
1063,1,0.12,6,1119.8534691834404,0
1088,3,0.12,2,1097.1200181114937,0
0,2,0.01,1,54.25643783052442,0
0,1,0.01,6,953.5015191900204,0
516,3,0.12,2,526.3934417320561,0
514,2,0.11,6,532.0703811361052,0
485,3,0.1,3,504.099801164743,0
20,2,0.01,3,63.15588106891573,0
0,1,0.01,3,1135.9671281945714,0
1071,3,0.13,1,1075.8834074596175,0
0,2,0.01,5,48.73364632444964,0
430,1,0.09,7,795.181795050969,0
1002,1,0.12,6,1032.820963299737,0
963,2,0.13,1,972.9140703044102,0
887,2,0.12,7,900.8406002379643,0
851,3,0.11,3,867.2718437227256,0
5,2,0.01,5,60.97376884510254,0
0,1,0.01,7,1301.3198129534264,0
1277,2,0.14,2,1291.026002770275,0
1279,2,0.13,7,1292.1647835748402,0
1131,3,0.12,7,1152.3869365781204,0
841,1,0.09,1,1301.9939138501852,0
320,1,0.08,7,1010.0642387262142,0
969,1,0.14,1,978.0245197517552,0
933,3,0.14,4,944.6725121386721,0
884,3,0.13,7,901.258027484618,0
873,3,0.12,5,887.4261271648434,0
43,1,0.02,2,1137.1439753239254,0
1125,3,0.15,3,1132.4948205491808,0
1050,3,0.14,6,1061.3714554016472,0
514,1,0.1,5,897.2525904458391,0
853,3,0.14,1,865.3191836847841,0
828,2,0.13,7,836.7306494710845,0
805,2,0.12,4,816.0772381427116,0
725,1,0.1,2,1105.2901315681995,0
678,1,0.12,4,860.992789143425,0
760,1,0.11,4,1138.6702958515918,0
0,1,0.01,1,1368.1948786420332,0
1346,3,0.15,3,1352.9359771498182,0
0,1,0.01,6,1305.6422828852524,0
1240,2,0.15,2,1251.753122739365,0
1226,2,0.14,6,1238.4550861636599,0
1121,2,0.13,5,1134.0241705231651,0
930,2,0.12,4,941.420650707742,0
887,2,0.11,5,898.6702290713931,0
747,3,0.1,4,757.6897020810225,0
0,2,0.01,3,58.29678474185084,0
934,1,0.11,6,1301.1693558199222,0
1114,2,0.16,6,1137.3640661976558,0
1054,2,0.15,1,1067.832628748184,0
0,1,0.01,6,1478.340027372653,0
1456,2,0.16,6,1469.1797301645236,0
1354,2,0.15,7,1367.5594406045743,0
1336,2,0.14,1,1344.3611990845404,0
1110,3,0.13,3,1114.1027231835496,0
1091,1,0.14,1,1212.9163694314932,0
897,1,0.11,2,1266.7699438107518,0
0,1,0.01,1,1227.2239016563638,0
241,1,0.08,1,1128.8146721098406,0
1102,3,0.15,6,1110.1391387632148,0
1089,1,0.16,1,1109.444417358242,0
1065,2,0.15,5,1082.3791062746484,0
950,3,0.14,6,972.1244337279093,0
895,3,0.13,2,908.7599905605573,0
866,3,0.12,7,879.9699785056362,0
652,2,0.11,4,669.2674730639001,0
0,1,0.01,4,1605.4850613659805,0
1487,2,0.17,5,1498.723853379487,0
1102,1,0.15,2,1191.0629961954005,0
1070,2,0.16,5,1086.7075253235087,0
997,2,0.15,6,1018.9506902586079,0
814,2,0.14,4,830.2380967713775,0
0,1,0.01,4,1237.8419067761217,0
1218,2,0.17,1,1223.1222448462815,0
1205,2,0.16,2,1209.7763061730545,0
1197,2,0.15,4,1209.141387634325,0
860,1,0.11,4,1187.0601021945747,0
1162,3,0.17,2,1169.5146391622704,0
1114,3,0.16,6,1124.7555706674214,0
0,2,0.01,5,57.34398637336085,0
923,1,0.14,2,1222.715079835972,0
1172,1,0.18,7,1182.4121775581555,0
1153,3,0.17,7,1168.2450432402343,0
1088,3,0.16,2,1098.7491865786446,0
1049,2,0.15,2,1055.6080001128166,0
1009,2,0.14,4,1018.537901801617,0
874,2,0.13,5,884.1030463729765,0
1282,1,0.13,6,1710.543765127704,0
1699,2,0.17,3,1710.4410291943902,0
745,1,0.1,7,1704.33667886998,0
1564,2,0.18,7,1585.4003478985146,0
1342,1,0.16,2,1371.5760867449687,0
1509,1,0.17,2,1522.8445877472564,0
0,1,0.01,3,1350.9095792431137,0
943,1,0.11,7,1436.249691805552,0
853,1,0.14,6,1249.2250712874113,0
1209,1,0.15,4,1478.2954595018773,0
1408,2,0.17,5,1418.1230398725459,0
62,1,0.04,1,1609.292779823878,0
1563,2,0.18,5,1571.9304774219686,0
1224,1,0.17,7,1262.4850310027473,0
1152,3,0.17,6,1169.5024477392844,0
1373,1,0.16,4,1413.9609139335055,0
1362,3,0.17,3,1374.8772220334295,0
0,1,0.01,5,1254.1423826517582,0
1070,3,0.18,3,1079.553404830239,0
999,2,0.17,3,1005.431200358511,0
11,1,0.01,1,1591.6578803601658,0
1385,2,0.17,1,1389.2090334696315,0
1332,2,0.16,7,1342.818274461816,0
1329,2,0.15,3,1340.2577872247437,0
1322,3,0.14,6,1331.6152827823648,0
1258,1,0.16,5,1381.7198984182698,0
1312,2,0.19,6,1324.9049145200106,0
951,1,0.13,4,1506.3325867549486,0
1494,3,0.2,4,1507.2037454381345,0
522,1,0.08,2,1672.2251175317535,0
1316,1,0.18,3,1344.028112309213,0
1182,1,0.17,6,1335.8460292088039,0
1311,2,0.19,5,1323.4464627608183,0
1325,1,0.19,5,1361.300061135356,0
6,1,0.01,4,1982.3842659473044,0
1832,2,0.18,5,1841.5695934739506,0
1683,3,0.17,3,1692.0331040675464,0
1482,1,0.16,6,1686.313033650344,0
1198,1,0.18,1,1252.8580637999735,0
1195,2,0.19,2,1200.310690659789,0
1176,2,0.18,5,1183.7895811389521,0
1082,3,0.17,4,1095.9163588079823,0
842,2,0.16,3,854.7903312997928,0
840,3,0.15,5,850.1871335216179,0
687,2,0.14,7,700.8963639428403,0
677,2,0.13,5,690.8819114811467,0
529,2,0.12,2,538.205759818919,0
1625,1,0.18,4,1736.0454869435794,0
15,1,0.02,1,1569.7319311395977,0
1565,2,0.19,5,1571.1950593694482,0
1451,3,0.18,2,1461.5211468067723,0
1433,2,0.17,6,1444.611493231835,0
198,1,0.04,6,1177.9691926667942,0
1150,3,0.19,3,1166.9578584476726,0
1062,2,0.19,5,1070.6381485611873,0
1022,2,0.18,4,1032.7491449877011,0
855,2,0.17,6,872.9496595033647,0
816,2,0.16,6,835.2812575514295,0
415,1,0.08,6,1476.1113433013966,0
1353,3,0.2,5,1364.4284609146298,0
1355,3,0.19,4,1366.891820811712,0
1348,2,0.18,2,1356.0894629780664,0
1328,2,0.17,7,1337.2613491424513,0
1259,3,0.16,2,1269.3958681145255,0
1187,3,0.15,2,1195.9414280702522,0
1173,2,0.14,7,1185.3228185547346,0
1003,3,0.13,2,1013.5716431557339,0
1003,1,0.14,2,1671.6473970939937,0
1656,3,0.22,5,1667.6908636862327,0
1649,3,0.21,1,1659.2062769487502,0
1398,2,0.2,5,1406.2664503851538,0
1276,3,0.19,4,1292.3538472975533,0
856,1,0.09,6,1909.1938262702151,0
1901,3,0.2,4,1912.6931778513108,0
1601,3,0.2,1,1609.9490568003812,0
1461,2,0.19,5,1470.4857844367903,0
1329,3,0.18,7,1350.03361933332,0
1223,2,0.17,3,1241.5753145030835,0
1030,1,0.15,1,1592.3175450442873,0
1489,3,0.21,2,1494.3546959574992,0
1373,3,0.2,5,1381.6572308306522,0
1210,2,0.19,4,1225.4503261061473,0
1117,3,0.18,3,1132.9061057948797,0
998,3,0.17,7,1010.8250702218511,0
955,2,0.16,5,967.6472460558102,0
0,1,0.01,5,2188.0123189466626,0
1932,2,0.21,5,1948.5501051698757,0
1774,3,0.2,5,1786.5301523086737,0
1672,2,0.19,3,1681.8582042913372,0
1438,3,0.18,1,1443.1190489765045,0
1436,3,0.17,1,1440.4854780530168,0
1346,2,0.16,7,1356.8332495579007,0
1270,3,0.15,5,1289.5985082146976,0
1233,3,0.14,5,1249.4440133635976,0
1172,1,0.16,3,1674.2410509380934,0
1574,3,0.22,3,1582.3604365371025,0
1554,2,0.21,1,1560.999218331583,0
